env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n005.yaml,clutter,5.0,rrt-connect,5,13,1,0.6047,0.6052,418.334,43,124,186,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,14,1,0.5652,0.5658,536.207,55,116,162,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,15,1,0.3198,0.3204,443.196,46,69,60,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,16,1,0.1922,0.1926,334.206,35,44,16,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,17,1,0.2542,0.2546,402.82,42,57,47,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,18,1,0.227,0.2276,432.438,45,55,36,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,19,1,0.2318,0.232,423.905,44,57,48,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,20,1,0.2111,0.2115,385.56,40,52,30,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,21,1,0.3168,0.3174,401.169,42,64,60,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,22,1,0.2643,0.2649,406.667,42,56,34,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,23,1,0.4173,0.4178,434.562,45,86,98,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,24,1,0.269,0.2697,398.899,41,56,44,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,25,1,0.2371,0.2379,384.665,40,50,32,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,26,1,0.1901,0.1906,363.008,38,44,16,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,27,1,0.2228,0.2233,373.937,39,44,18,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,28,1,0.3761,0.3767,470.282,49,77,82,
clutter_n005.yaml,clutter,5.0,rrt-connect,5,29,1,0.238,0.2386,316.033,33,51,41,
clutter_n010.yaml,clutter,10.0,rrt,5,0,1,7.7913,7.7921,590.0,60,1497,1645,
clutter_n010.yaml,clutter,10.0,rrt,5,1,1,0.8709,0.8714,491.536,51,195,290,
clutter_n010.yaml,clutter,10.0,rrt,5,2,1,1.529,1.5294,338.86,35,344,514,
clutter_n010.yaml,clutter,10.0,rrt,5,3,1,0.3289,0.3294,330.0,34,74,35,
clutter_n010.yaml,clutter,10.0,rrt,5,4,1,2.0645,2.0648,485.795,50,501,495,
clutter_n010.yaml,clutter,10.0,rrt,5,5,1,13.9547,13.955,395.381,41,2964,2592,
clutter_n010.yaml,clutter,10.0,rrt,5,6,0,20.0002,20.0004,,,4361,3500,
clutter_n010.yaml,clutter,10.0,rrt,5,7,1,7.1669,7.1672,337.457,35,1553,1438,
clutter_n010.yaml,clutter,10.0,rrt,5,8,1,2.6821,2.6826,508.509,52,613,738,
clutter_n010.yaml,clutter,10.0,rrt,5,9,1,1.1833,1.1836,386.143,40,233,206,
clutter_n010.yaml,clutter,10.0,rrt,5,10,0,20.0016,20.0018,,,4468,3388,
clutter_n010.yaml,clutter,10.0,rrt,5,11,1,4.8391,4.8394,410.0,42,1149,1253,
clutter_n010.yaml,clutter,10.0,rrt,5,12,1,2.2159,2.2161,466.597,48,500,628,
clutter_n010.yaml,clutter,10.0,rrt,5,13,1,15.746,15.7465,528.869,54,3492,3013,
clutter_n010.yaml,clutter,10.0,rrt,5,14,1,0.2933,0.2941,384.582,40,83,65,
clutter_n010.yaml,clutter,10.0,rrt,5,15,1,3.4917,3.4922,498.985,51,838,765,
clutter_n010.yaml,clutter,10.0,rrt,5,16,1,0.5289,0.5292,460.0,47,106,87,
clutter_n010.yaml,clutter,10.0,rrt,5,17,0,20.0037,20.0039,,,4266,3537,
clutter_n010.yaml,clutter,10.0,rrt,5,18,1,0.7292,0.7295,487.884,50,191,228,
clutter_n010.yaml,clutter,10.0,rrt,5,19,1,0.3229,0.3233,428.058,44,96,111,
clutter_n010.yaml,clutter,10.0,rrt,5,20,1,4.1449,4.1452,438.148,45,977,852,
clutter_n010.yaml,clutter,10.0,rrt,5,21,1,2.5354,2.5356,520.282,54,594,620,
clutter_n010.yaml,clutter,10.0,rrt,5,22,1,7.9851,7.986,910.215,93,1788,1374,
clutter_n010.yaml,clutter,10.0,rrt,5,23,0,20.0038,20.0043,,,4435,3456,
clutter_n010.yaml,clutter,10.0,rrt,5,24,1,2.7059,2.7066,532.675,55,654,594,
clutter_n010.yaml,clutter,10.0,rrt,5,25,1,6.5953,6.5958,770.648,80,1515,1213,
clutter_n010.yaml,clutter,10.0,rrt,5,26,1,4.0052,4.0056,303.325,32,991,926,
clutter_n010.yaml,clutter,10.0,rrt,5,27,1,0.3548,0.3552,459.527,47,104,72,
clutter_n010.yaml,clutter,10.0,rrt,5,28,1,0.174,0.1744,394.28,41,56,59,
clutter_n010.yaml,clutter,10.0,rrt,5,29,1,3.7035,3.7038,360.16,37,896,863,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,0,1,0.2717,0.2722,397.368,41,78,106,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,1,1,0.264,0.2644,317.106,33,77,121,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,2,1,0.1423,0.1428,278.193,29,39,26,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,3,1,0.6116,0.6121,490.942,51,136,234,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,4,1,0.1872,0.1876,294.883,31,54,62,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,5,1,0.1279,0.1281,324.617,34,42,16,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,6,1,0.1265,0.1268,279.169,29,45,38,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,7,1,0.1512,0.1516,341.749,36,43,19,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,8,1,0.2382,0.2388,420.729,44,52,94,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,9,1,0.1727,0.1731,298.513,31,38,13,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,10,1,0.256,0.2563,436.928,45,61,73,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,11,1,0.1607,0.1611,354.782,37,46,27,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,12,1,0.2449,0.2453,500.945,52,70,91,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,13,1,0.171,0.1714,343.356,36,54,56,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,14,1,0.1931,0.1934,431.758,45,59,55,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,15,1,0.2081,0.2085,408.703,42,55,78,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,16,1,0.622,0.6226,473.162,49,129,247,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,17,1,0.1653,0.1658,345.498,36,44,25,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,18,1,0.1731,0.1736,380.685,40,57,51,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,19,1,0.1667,0.1672,360.908,38,50,77,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,20,1,0.2489,0.2494,347.608,36,64,74,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,21,1,0.1676,0.1681,302.992,32,41,13,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,22,1,0.2552,0.2555,340.293,36,51,90,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,23,1,0.1651,0.1654,378.663,39,52,60,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,24,1,0.4758,0.4763,599.828,61,143,285,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,25,1,0.1454,0.1458,380.734,40,51,125,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,26,1,0.1305,0.1309,378.796,39,43,46,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,27,1,0.1357,0.1361,337.278,35,39,19,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,28,1,0.3828,0.3834,392.541,41,78,150,
clutter_n010.yaml,clutter,10.0,rrt-connect,5,29,1,0.2304,0.2308,437.626,45,75,161,
clutter_n020.yaml,clutter,20.0,rrt,5,0,1,0.158,0.1585,354.3,37,42,36,
clutter_n020.yaml,clutter,20.0,rrt,5,1,1,0.8059,0.8065,549.637,56,212,213,
clutter_n020.yaml,clutter,20.0,rrt,5,2,1,6.4137,6.4142,517.075,53,1583,1365,
clutter_n020.yaml,clutter,20.0,rrt,5,3,1,10.3618,10.3622,479.973,50,2537,2438,
clutter_n020.yaml,clutter,20.0,rrt,5,4,0,20.0019,20.0021,,,4675,3562,
clutter_n020.yaml,clutter,20.0,rrt,5,5,1,16.3083,16.3089,456.658,47,3428,3053,
clutter_n020.yaml,clutter,20.0,rrt,5,6,1,0.5437,0.5442,387.532,40,101,136,
clutter_n020.yaml,clutter,20.0,rrt,5,7,1,0.2787,0.2792,340.0,35,79,55,
clutter_n020.yaml,clutter,20.0,rrt,5,8,1,8.5273,8.5279,747.215,78,1973,1691,
clutter_n020.yaml,clutter,20.0,rrt,5,9,0,20.0,20.0002,,,3480,2904,
clutter_n020.yaml,clutter,20.0,rrt,5,10,0,20.0051,20.0054,,,3641,3225,
clutter_n020.yaml,clutter,20.0,rrt,5,11,1,15.9515,15.9521,921.453,96,3127,2709,
clutter_n020.yaml,clutter,20.0,rrt,5,12,1,10.1786,10.1795,410.035,42,2170,1680,
clutter_n020.yaml,clutter,20.0,rrt,5,13,1,0.3707,0.3711,454.075,47,103,75,
clutter_n020.yaml,clutter,20.0,rrt,5,14,1,10.065,10.0654,551.761,57,2105,2123,
